Date,"Bayer
Close Price","BMW
Close Price","Siemens
Close Price"
2014/11/11,112.05,84.31,88.98
2014/11/10,112.25,83.91,88.58
2014/11/7,111.85,83.33,88.03
2014/11/6,114.5,84.38,89.61
2014/11/5,113.8,83.85,89.08
2014/11/4,111.55,82.89,87.9
2014/11/3,112.3,85.27,89.06
2014/10/31,113.45,85.32,89.91
2014/10/30,109.95,83.03,87.36
2014/10/29,107.05,82.67,87.31
2014/10/28,107.45,82.42,87.03
2014/10/27,105,81.29,85.56
2014/10/24,105.75,82.29,86.09
2014/10/23,106.9,83.15,86.64
2014/10/22,105.25,82.59,85.53
2014/10/21,104.2,81.35,85.43
2014/10/20,102.5,79.61,83.08
2014/10/17,104.85,80.57,84.2
2014/10/16,101.4,77.85,82.42
2014/10/15,98.88,77.41,82.34
2014/10/14,102.75,79.47,84.71
2014/10/13,103,79.44,84.5
2014/10/10,102.75,79.53,83.6
2014/10/9,105.35,82.5,87.01
2014/10/8,104.8,81.24,86.65
2014/10/7,105.6,82.33,87.96
2014/10/6,108.15,81.98,89.95
2014/10/3,107.75,83.62,91.4
2014/10/2,107.75,83.62,91.4
2014/10/1,110.35,84.83,93.24
2014/9/30,110.9,85.02,94.37
2014/9/29,109,85.21,93.42
2014/9/26,110.05,85.64,93.91
2014/9/25,110.2,85.25,93.27
2014/9/24,112.35,86.79,94.63
2014/9/23,111,84.9,94.28
2014/9/22,112.7,86.77,95.97
2014/9/19,112.25,88.99,96.4
2014/9/18,112.7,90.38,97.82
2014/9/17,106.15,89.8,98.24
2014/9/16,106.05,89.27,97.69
2014/9/15,106.6,89.49,97.38
2014/9/12,106.15,89.43,97.09
2014/9/11,106.4,90,97.54
2014/9/10,105.65,90.33,97.7
2014/9/9,105.35,91.24,98.06
2014/9/8,105.6,91.91,98.04
2014/9/5,105.6,92.05,98.42
2014/9/4,105.65,91.54,98.59
2014/9/3,104.3,90.01,97.15
2014/9/2,102.6,87.99,96.09
2014/9/1,102.65,88.01,95.58
2014/8/29,102.05,88.6,95.34
2014/8/28,101.15,89.28,95.23
2014/8/27,101.65,90.28,96.39
2014/8/26,102.85,91.14,96.84
2014/8/25,101.4,91.13,96.14
2014/8/22,99.03,89.06,93.69
2014/8/21,100.05,89.78,94.88
2014/8/20,98.96,88.61,92.98
2014/8/19,99.3,89.02,92.79
2014/8/18,97.49,88.03,92.08
2014/8/15,95.41,86.24,90.66
2014/8/14,97.69,88.28,91.63
2014/8/13,97.19,87.83,90.92
2014/8/12,95.63,87.2,89.2
2014/8/11,96.98,88.83,90.47
2014/8/8,95.12,86.39,88.83
2014/8/7,95.93,86.2,89.22
2014/8/6,96.57,88.04,90.23
2014/8/5,96.78,88.5,90.12
2014/8/4,94.73,88.41,89.62
2014/8/1,95.73,87.63,90.12
2014/7/31,98.92,89.34,92.4
2014/7/30,101,90.97,92.7
2014/7/29,99.48,91.53,93.55
2014/7/28,99.29,92.21,93.16
